,0,1,2,3,4,5,6,7
73,a27b9a33-4be0-4023-8821-e82180866d1f,189,47.08994708994709,42,50,58,39,8.37037037037037
74,cbc9f08b-307e-48a0-b8c4-5444ce9aa373,209,45.45454545454545,53,52,61,43,15.55023923444976
75,4e44fe17-6e5f-4a5b-b07b-db251aa63d98,204,44.6078431372549,46,50,67,41,8.818627450980392
76,d6cbb5e6-7828-478b-91e3-9f68a7c2d73c,215,48.83720930232558,49,56,61,49,12.195348837209302
77,8153b049-b41a-4413-aca0-5e79c5c755ef,221,52.48868778280543,43,67,62,49,7.479638009049774
78,0a3afd63-386e-4283-8d22-927ed891c63d,205,44.390243902439025,53,43,61,48,9.06341463414634
79,ae639e55-f513-4be3-bbe0-f6de641db905,213,52.582159624413144,42,64,59,48,10.046948356807512
80,83ad4f68-71a4-4d88-a8be-ae8828b5542b,188,42.5531914893617,40,41,68,39,7.3563829787234045
81,d68930a1-f992-4eb2-be32-eec9f07680a4,202,47.524752475247524,54,47,52,49,12.871287128712872
82,97753489-3d76-480e-b378-5bf60ce977e4,227,49.33920704845815,59,54,56,58,11.290748898678414
83,3ceb772d-7ac6-42c2-a175-099b3e55dcdf,191,47.12041884816754,48,45,53,45,11.801047120418849
84,131a3de1-fe13-476b-9c81-680f9418389f,196,46.42857142857143,33,51,72,40,12.11734693877551
85,1d673b88-55b4-4756-818f-0c35b65fb923,202,44.05940594059406,44,51,69,38,9.247524752475247
86,8b2ba583-9615-4daa-a6f1-bc25658cdc7f,199,44.72361809045226,51,43,59,46,13.015075376884422
87,25f00d69-ea96-4b4f-8fd8-4409c6164c59,204,46.568627450980394,51,47,58,48,12.936274509803921
88,3bfde7dd-a671-4121-86a3-4fb5fa5d3f8c,206,48.54368932038835,45,51,61,49,12.66504854368932
89,589786ff-6a47-4ba1-a971-7d897901c104,231,45.45454545454545,56,57,70,48,7.303030303030303
90,c34852f3-b5f0-4c71-8603-f7bc0b38c596,207,42.028985507246375,50,45,70,42,8.671497584541063
91,468f5d3c-c5ab-4d81-9ba0-58ff29c7dca1,221,52.036199095022624,50,54,56,61,9.597285067873303
92,858905ca-a0e6-4588-9929-2f3699dc250e,198,46.464646464646464,48,50,58,42,15.444444444444445
93,8ce6c73e-851d-459c-b59a-a4f064473748,239,45.18828451882845,68,55,63,53,10.753138075313808
94,103b87ed-7fab-4bd2-a56e-5ef45e9a773f,219,46.57534246575342,53,51,64,51,15.210045662100457
95,d8dcf73c-75b8-46f4-804b-b26c6eadc41a,209,44.01913875598086,51,46,66,46,10.220095693779903
96,e2aedeac-7307-40ee-9b48-43d75c1d5e77,198,48.484848484848484,48,48,54,48,10.313131313131313
97,98ccaf0f-f23a-496d-bf3d-0ade2e8d59a4,206,49.029126213592235,56,48,49,53,10.087378640776699
98,446250f0-5013-419c-affd-614d39e2d270,198,51.01010101010101,46,54,51,47,9.025252525252526
99,d0dbc7aa-fe3c-433a-b6a8-d60494d180eb,203,43.34975369458128,53,45,62,43,13.70935960591133
100,9f105b25-8fee-4dec-ae9b-a7fb8c72bc82,207,48.309178743961354,52,47,55,53,13.057971014492754
101,8687c4aa-fe06-42f4-b9f9-e237e31fb81d,210,44.76190476190476,58,52,58,42,9.071428571428571
102,8543e00d-aef4-4fe1-9012-22e48a9c7f4c,200,48.0,42,53,62,43,12.715
103,c580ec43-c47a-48d5-b636-ca596cb2964a,226,48.230088495575224,53,61,64,48,9.349557522123893
104,295f3607-3962-4a2d-9e77-879914af02cb,206,43.20388349514563,59,43,58,46,11.242718446601941
105,9679ce49-6973-41d9-8254-80cbabec3c53,193,48.704663212435236,47,46,52,48,12.538860103626943
106,327b3135-a76a-465b-8516-01454a79ff91,210,47.61904761904762,46,52,64,48,11.138095238095238
107,bd5fe5d4-4d40-4bcd-bc86-0d86ca324c89,191,42.931937172774866,52,41,57,41,11.141361256544503
108,7ce732f4-46cd-4e74-bd02-5a00f7ba018b,223,46.63677130044843,58,55,61,49,8.291479820627803
109,69d046d7-ff0c-4fda-a9c6-fa567cfb115c,209,42.58373205741627,43,52,77,37,12.205741626794259
110,fb271bab-db48-4e15-a420-d576cc75fd25,176,46.59090909090909,41,44,53,38,10.056818181818182
111,92cb0e03-781b-4dc3-89de-aec183c6a1cb,210,46.19047619047619,42,52,71,45,14.204761904761904
112,50cceddd-0c06-4a59-b53a-48ac501253bd,219,46.57534246575342,49,56,68,46,14.771689497716896
